iter	Logloss
0	0.6399419314
1	0.5972372945
2	0.561773715
3	0.5265806046
4	0.4961607724
5	0.4641451123
6	0.4397703219
7	0.4179362624
8	0.3984390043
9	0.3768492555
10	0.3582108252
11	0.3424911168
12	0.3277356736
13	0.3134209945
14	0.3029015993
15	0.2933196614
16	0.2828670149
17	0.2699958639
18	0.2621585177
19	0.2434454009
20	0.2362112792
21	0.2264540049
22	0.2212144696
23	0.2097316113
24	0.1997612802
25	0.1925314256
26	0.1861927596
27	0.1772020263
28	0.1728710146
29	0.1678568896
30	0.164493851
31	0.1598012587
32	0.1512640444
33	0.148117068
34	0.1452978328
35	0.1431188754
36	0.1397433349
37	0.1343784371
38	0.1325643041
39	0.1283479729
40	0.1242802226
41	0.1225991286
42	0.1207580451
43	0.1187789391
44	0.1157287196
45	0.1132832623
46	0.1108685027
47	0.1089031536
48	0.1065529295
49	0.1044909376
50	0.1024930587
51	0.1012653469
52	0.09961419022
53	0.0974172508
54	0.09475815654
55	0.09307508321
56	0.09165988435
57	0.09014249284
58	0.08875670647
59	0.0878652927
60	0.08561194254
61	0.08387953523
62	0.08238437343
63	0.08122668387
64	0.08050359451
65	0.07971708208
66	0.07872305624
67	0.07737370921
68	0.0757151782
69	0.07475779439
70	0.07345687433
71	0.07249775194
72	0.07114788787
73	0.06965386327
74	0.06876195167
75	0.06800246047
76	0.06678380098
77	0.06606430127
78	0.06461796604
79	0.06407123687
80	0.06351253035
81	0.06290151875
82	0.06216610475
83	0.06173630429
84	0.06073133006
85	0.05997065489
86	0.05932017117
87	0.05851736406
88	0.05782127315
89	0.05713779828
90	0.05676796172
91	0.05616735751
92	0.05583939983
93	0.05533756594
94	0.05416258802
95	0.05347619981
96	0.05310809446
97	0.05242071436
98	0.05161489032
99	0.05125338319
100	0.05069151905
101	0.05033752202
102	0.04970876192
103	0.04910909239
104	0.04879455481
105	0.04826832063
106	0.04802440143
107	0.04769109273
108	0.04686763558
109	0.04643264905
110	0.04608093128
111	0.04551011753
112	0.0451727576
113	0.04473477188
114	0.04417046587
115	0.04385949946
116	0.04356856866
117	0.04340008916
118	0.04316769506
119	0.04269692473
120	0.04246496323
121	0.04202425258
122	0.04139076063
123	0.04113178512
124	0.04090321298
125	0.04063051186
126	0.04036177049
127	0.04005456972
128	0.03980610559
129	0.03942616558
130	0.03909084047
131	0.0388496615
132	0.03862178448
133	0.03841878379
134	0.03810247174
135	0.0379433277
136	0.03767425422
137	0.03756440164
138	0.03749420112
139	0.03729046071
140	0.03699129374
141	0.03678022839
142	0.03644570631
143	0.03632762243
144	0.03625897732
145	0.03607572676
146	0.03557219896
147	0.03534627808
148	0.03521466043
149	0.03516014075
150	0.03504715203
151	0.03477386503
152	0.03453260966
153	0.03435237095
154	0.03409561769
155	0.0340410794
156	0.03384520223
157	0.03378301397
158	0.03363125614
159	0.03348981622
160	0.03333380089
161	0.0331453293
162	0.03309027185
163	0.03300547862
164	0.03296511892
165	0.032913591
166	0.03286834088
167	0.0326917391
168	0.03261641879
169	0.03246405163
170	0.03242425364
171	0.03238472502
172	0.03217673183
173	0.03205753208
174	0.0319315
175	0.03185816153
176	0.03176368808
177	0.0316458059
178	0.0315935053
179	0.03135016376
180	0.03130003399
181	0.03110526135
182	0.03102360028
183	0.03094765749
184	0.03080726058
185	0.03072438194
186	0.0306570682
187	0.03049284096
188	0.0304560851
189	0.03038761888
190	0.03024427099
191	0.03020651444
192	0.03003614082
193	0.02996981361
194	0.02988501325
195	0.02984806314
196	0.02980574112
197	0.02966126841
198	0.02962692144
199	0.02953615998
200	0.02937673814
201	0.02927091106
202	0.0292158653
203	0.02910959219
204	0.02905646944
205	0.02902292891
206	0.02899489725
207	0.02892356442
208	0.02889523516
209	0.02885403697
210	0.02879211819
211	0.02861639768
212	0.02856775131
213	0.02851930362
214	0.02839008542
215	0.02837366596
216	0.0282782017
217	0.02824280368
218	0.0282114008
219	0.02816077171
220	0.02806593584
221	0.02802692801
222	0.02796650494
223	0.02787452886
224	0.02785303735
225	0.02782864486
226	0.02777612337
227	0.02774528079
228	0.02768751427
229	0.02766006994
230	0.02761714238
231	0.02753644151
232	0.0274870924
233	0.02747096554
234	0.02744458249
235	0.02734922883
236	0.02731335477
237	0.02728447458
238	0.02717378046
239	0.02712954725
240	0.02710240235
